"fecha","hora","contexto","componente","nombre","user id","descripcion","module id"
"24/02/2017","10:50","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:47","Wiki: Apuntes de clase","Wiki","Comentarios vistos","394501","viewed the comments for the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:47","Wiki: Apuntes de clase","Wiki","Comentario creado","394501","added a comment with id '47855' on the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:35","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5290' for the wiki with course","2669837"
"24/02/2017","10:35","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:35","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5048' for the wiki with course","2669837"
"24/02/2017","10:34","Archivo: Nota Final Primer Parcial","Recurso","MÃ³dulo de curso visto","298219","viewed the 'resource' activity with course","2695407"
"24/02/2017","10:34","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the course","NULL"
"24/02/2017","10:33","Wiki: Apuntes de clase","Wiki","Comentarios vistos","394501","viewed the comments for the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:33","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:33","Wiki: Apuntes de clase","Wiki","Bloqueos de la pÃ¡gina wiki borrados","394501","deleted locks for the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:20","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","347078","viewed the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:20","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","347078","viewed the 'wiki' activity with course","2669837"
"24/02/2017","10:20","Curso: FC Grupo E","Sistema","Curso visto","347078","viewed the section number '5' of the course","NULL"
"24/02/2017","10:20","Curso: FC Grupo E","Sistema","Curso visto","347078","viewed the section number '-1' of the course","NULL"
"24/02/2017","10:19","Curso: FC Grupo E","Sistema","Curso visto","347078","viewed the section number '-1' of the course","NULL"
"24/02/2017","10:03","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5291' for the wiki with course","2669837"
"24/02/2017","10:03","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:02","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5055' for the wiki with course","2669837"
"24/02/2017","10:02","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5050' for the wiki with course","2669837"
"24/02/2017","10:02","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5049' for the wiki with course","2669837"
"24/02/2017","10:02","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5289' for the wiki with course","2669837"
"24/02/2017","10:02","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","394501","viewed the 'wiki' activity with course","2669837"
"24/02/2017","10:02","Curso: FC Grupo E","Sistema","Curso visto","394501","viewed the section number '5' of the course","NULL"
"24/02/2017","10:02","Curso: FC Grupo E","Sistema","Curso visto","394501","viewed the section number '-1' of the course","NULL"
"23/02/2017","10:57","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:57","Wiki: Apuntes de clase","Wiki","Bloqueos de la pÃ¡gina wiki borrados","394501","deleted locks for the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:57","Wiki: Apuntes de clase","Wiki","PÃ¡gina de la wiki actualizada","394501","updated the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:54","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:54","Wiki: Apuntes de clase","Wiki","Bloqueos de la pÃ¡gina wiki borrados","394501","deleted locks for the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:54","Wiki: Apuntes de clase","Wiki","PÃ¡gina de la wiki actualizada","394501","updated the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:53","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:53","Wiki: Apuntes de clase","Wiki","Bloqueos de la pÃ¡gina wiki borrados","394501","deleted locks for the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:53","Wiki: Apuntes de clase","Wiki","PÃ¡gina de la wiki actualizada","394501","updated the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:37","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"23/02/2017","10:36","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:36","Wiki: Apuntes de clase","Wiki","Bloqueos de la pÃ¡gina wiki borrados","394501","deleted locks for the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:36","Wiki: Apuntes de clase","Wiki","PÃ¡gina de la wiki actualizada","394501","updated the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:35","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5055' for the wiki with course","2669837"
"23/02/2017","10:30","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5290' for the wiki with course","2669837"
"23/02/2017","10:30","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5289' for the wiki with course","2669837"
"23/02/2017","10:29","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","68626","viewed the 'wiki' activity with course","2669837"
"23/02/2017","10:29","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '5' of the course","NULL"
"23/02/2017","10:29","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"23/02/2017","10:28","Curso: FC Grupo E","Sistema","Perfil de usuario visto","68626","viewed the profile for the user with id '383185' in the course","NULL"
"23/02/2017","10:28","Curso: FC Grupo E","Sistema","Perfil de usuario visto","68626","viewed the profile for the user with id '383185' in the course","NULL"
"23/02/2017","10:28","Curso: FC Grupo E","Sistema","Lista de usuarios vista","68626","viewed the list of users in the course","NULL"
"23/02/2017","10:28","Curso: FC Grupo E","Sistema","Lista de usuarios vista","68626","viewed the list of users in the course","NULL"
"23/02/2017","10:28","Curso: FC Grupo E","Sistema","Perfil de usuario visto","68626","viewed the profile for the user with id '324478' in the course","NULL"
"23/02/2017","10:28","Curso: FC Grupo E","Sistema","Lista de usuarios vista","68626","viewed the list of users in the course","NULL"
"23/02/2017","10:27","Curso: FC Grupo E","Sistema","Lista de usuarios vista","68626","viewed the list of users in the course","NULL"
